muestra,L,a,b,croma,hue
M1-1-7,48.194170152559,12.5448264142303,22.9406546409742,28.0044234086291,61.9922218262406
M1-2,47.6701073658943,11.7110177076322,22.6151979887938,27.3945386298946,61.858825925949
M1-3,47.9645751404695,13.4548695227766,22.4127708458886,27.858821898459,59.3372917074007
M1-4,48.4614952788506,13.0471928590321,23.0391555889845,28.3424367117464,60.79305637511
M1-5,47.4928036224316,14.7307900888016,21.9680663119182,28.2395717370032,57.2289881905971
M1-6,45.6209171237269,12.2533656561362,20.0397728126624,25.6989089086167,59.318935853878
M2-1-7,41.7506308463425,20.9824382934954,13.7918759551572,26.2677788208614,42.602330471921
M2-2,42.9129070648586,21.781590879305,14.217122994179,27.2939043762828,42.8728002763763
M2-3,42.0274047077427,19.2638378850991,14.4719481915229,25.3469053948883,44.5550776274734
M2-4,41.766958137633,22.198342568739,12.1542282397224,26.5499708443674,41.255299490956
M2-5,43.2497215324174,22.498476438313,13.8225877966012,27.750870125447,39.6673597253487
M2-6,42.2028746482657,21.7653760683085,14.3675690673728,27.1610390555807,39.1974054506251
M3-1-7,33.0381249677783,22.1389949836724,3.46060348683467,22.767201648058,63.6153472439595
M3-2,32.0798326295653,19.7031465774313,3.22954451707711,20.3148594016176,63.3519984866385
M3-3,32.5847039754399,20.812356654038,3.55653454982686,21.451797287457,57.9947175460711
M3-4,32.7682131143481,20.6266954457799,3.38237522658767,21.2525520943304,62.4964526347709
M3-5-6,34.0114546336356,21.8827325895769,3.92968422002989,22.6399418404316,55.396136853434
M4-1,29.5515611832515,10.8941062867817,0.726237162685788,11.4888715360849,131.441036870943
M4-2,30.2459274311121,10.9062979544319,0.602553043212181,11.3636800453475,145.130506542744
M4-3,31.0276938149804,11.5636322605446,0.659513736538597,12.1928151986848,134.404073535209
M4-4,30.8268559853158,11.7886041245279,0.948777917757274,12.2965419945804,123.853029112886
M4-5,31.0221961308347,11.7747967627455,0.783205268876615,12.3414100740616,130.006260512963
M4-6,30.7565669016686,12.7395376973136,1.23454161575302,13.2706381819292,108.721146987677
M4-7,30.9083834490701,12.0622300054665,0.817784246925427,12.5515528848602,128.536414502951
